,Identifier (RIC),Company Name,Country of Exchange,GICS Industry Name,GICS Sub-Industry Name,Exchange Name,Instrument Type,Ticker Symbol,EPS FY1 2020-11-30,EPS FY1 2020-08-31,EPS FY1 2020-05-31,EPS FY1 2020-02-29,EPS FY1 2019-11-30,EPS FY1 2019-08-31,EPS FY1 2019-05-31,EPS FY1 2019-02-28,EPS FY1 2018-11-30,EPS FY1 2018-08-31,EPS FY1 2018-05-31,EPS FY1 2018-02-28,EPS FY1 2017-11-30,EPS FY1 2017-08-31,EPS FY1 2017-05-31,EPS FY2 2020-11-30,EPS FY2 2020-08-31,EPS FY2 2020-05-31,EPS FY2 2020-02-29,EPS FY2 2019-11-30,EPS FY2 2019-08-31,EPS FY2 2019-05-31,EPS FY2 2019-02-28,EPS FY2 2018-11-30,EPS FY2 2018-08-31,EPS FY2 2018-05-31,EPS FY2 2018-02-28,EPS FY2 2017-11-30,EPS FY2 2017-08-31,EPS FY2 2017-05-31,Revenue FY1 2020-11-30,Revenue FY1 2020-08-31,Revenue FY1 2020-05-31,Revenue FY1 2020-02-29,Revenue FY1 2019-11-30,Revenue FY1 2019-08-31,Revenue FY1 2019-05-31,Revenue FY1 2019-02-28,Revenue FY1 2018-11-30,Revenue FY1 2018-08-31,Revenue FY1 2018-05-31,Revenue FY1 2018-02-28,Revenue FY1 2017-11-30,Revenue FY1 2017-08-31,Revenue FY1 2017-05-31,Revenue FY2 2020-11-30,Revenue FY2 2020-08-31,Revenue FY2 2020-05-31,Revenue FY2 2020-02-29,Revenue FY2 2019-11-30,Revenue FY2 2019-08-31,Revenue FY2 2019-05-31,Revenue FY2 2019-02-28,Revenue FY2 2018-11-30,Revenue FY2 2018-08-31,Revenue FY2 2018-05-31,Revenue FY2 2018-02-28,Revenue FY2 2017-11-30,Revenue FY2 2017-08-31,Revenue FY2 2017-05-31
RBB,RBB.OQ,RBB Bancorp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,RBB,1.39,1.3025,1.7825,1.9205,1.915,2.0275,2.16333,2.09333,2.171,2.035,1.90333,1.81,1.72,,,1.68,1.5375,1.8475,1.945,1.965,2.0775,2.21,2.25,2.445,2.48,2.15,1.77667,1.59667,,,113600000,113367500,116222000,115539670,116679330,120194000,123692000,90355330,94740500,93541000,78770000,70695000,69325000,,,129800000,123014000,120534670,119648000,123465000,124029330,128787670,125576000,134693000,135930500,89614000,79689670,77945000,,
RBCAA,RBCAA.OQ,Republic Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,RBCAA,3.02,3.02,3.27,3.96,3.73,3.73,3.69,3.51,3.26,3.03,3.01,2.42,2.335,2.305,2.385,3.12,3.12,3.28,3.91,3.82,3.94,3.92,3.6,3.56,3.17,3.18,2.785,2.695,2.66,2.76,227985000,227985000,235265000,232651000,235296000,236393000,236178000,223064000,218963000,214093000,214034000,194313000,187972500,178333000,172183000,227020000,227020000,236588000,243277000,246179000,249316000,248488000,233759000,229650000,224769000,227170500,212431500,202773000,191168500,185668500
RBKB,RBKB.OQ,Rhinebeck Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,RBKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBNC,RBNC.OQ,Reliant Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,RBNC,1.535,1.286,1.50833,1.452,1.454,1.5,1.51,1.39,1.40667,1.38,1.35,1.055,1.02,,,1.61,1.58114,1.85,1.8445,1.8534,1.69,1.66333,1.54,1.57,1.565,1.57,1.245,1.25,,,118051250,107806400,103004250,65833000,67053600,68282330,70035500,66227500,65862000,68322500,64648500,41524500,41300000,,,119898750,116739600,116023250,102207400,83810250,75276000,76323000,72149000,70855000,73600500,70117500,64847500,64500000,,
RF,RF.N,Regions Financial Corp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,RF,0.51796,0.672,1.47771,1.51689,1.52389,1.56196,1.58489,1.5305,1.43323,1.41286,1.3405,0.99478,0.99738,0.97841,0.97489,1.22148,1.25881,1.594,1.62446,1.6357,1.67475,1.70993,1.58196,1.57704,1.54161,1.49211,1.15646,1.13031,1.11907,1.13145,5942373850,5882826050,5902880700,5883814350,5860781590,5932431910,5962279910,5818629410,5821774910,5815092000,5890068950,5657188000,5693873740,5716949770,5732416090,5903804600,5960854050,5989965300,5956302380,5963904230,6042143520,6101684650,6014211860,6032029240,6034161950,6101173550,5865969910,5933761740,5993982460,6024217180
RIVE,RIVE.OQ,Riverview Financial Corp,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,RIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMBI,RMBI.OQ,Richmond Mutual Bancorporation Inc,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,RMBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNDB,RNDB.OQ,Randolph Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,RNDB,2.28,0.38,0.66,0.67,0.7,0.01,-0.71,-0.4,-0.46,-0.46,,-0.13,-0.13,-0.13,-0.13,1.56,0.51,0.7,0.69,0.71,0.13,-0.35,-0.03,-0.36,-0.36,,-0.04,-0.04,0.07,0.07,19157000,17839000,17249000,18013000,17472000,17472000,19077000,16663000,16259000,16259000,,14697000,14697000,,,18997000,17250000,17023000,18398000,17782000,17782000,21492000,19062000,17160000,17160000,,15635000,15635000,,
RNST,RNST.OQ,Renasant Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,RNST,1.41875,1.30725,2.24625,2.86714,3.02,3.20833,3.22167,3,3.024,2.804,2.90167,2.29333,2.35333,2.29667,2.38625,1.62125,1.61675,2.311,2.6745,3.007,3.30333,3.33167,3.25833,3.39833,3.47667,3.30714,2.82,2.6925,2.6975,2.7375,652012710,608415000,582508290,603901000,610130290,617953830,620715200,546541000,553789400,559806600,526537250,475571400,475746600,475539330,488588000,615486290,591371570,600869860,601152290,621213140,643964600,647027800,626012000,646689800,659429000,596337800,524462400,522365500,524164830,538933800
RRBI,RRBI.OQ,Red River Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,RRBI,3.01,3.135,3.36,3.451,3.345,3.54,,,,,,,,,,3.25,3.035,3.16,3.4865,3.495,3.62,,,,,,,,,,70802000,67288000,65358000,71528500,63622500,64927000,,,,,,,,,,67900500,67380500,66040000,66652000,67172500,68299000,,,,,,,,,
RVSB,RVSB.OQ,Riverview Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,RVSB,0.25,0.55,0.72,0.77,0.75,0.75,0.75,0.75,0.72,0.65,0.48,0.47,0.52,0.5,0.33,0.35,0.4,0.52,0.8,0.79,0.8,0.72,0.81,0.77,0.75,0.79,0.65,0.62,0.6,0.52,55700000,59200000,58200000,59400000,59500000,59700000,58000000,58000000,58000000,56000000,54300000,54300000,53400000,55000000,43700000,58000000,59500000,55200000,62000000,62600000,62800000,58500000,58500000,61000000,60000000,58900000,58900000,57800000,59000000,55900000
SAL,SAL.OQ,Salisbury Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,SAL,3.47,3.015,3.265,3.855,3.605,,3.3,3.11,2.95,3.08,3.08,2.48,2.52,2.49,,3.354,3.49,3.55,3.861,3.59,,3.56,3.3,3.23,3.38,3.38,2.73,2.77,2.71,,39090000,37590000,34745000,34815000,34420000,,36400000,33600000,33500000,34300000,34300000,32300000,33000000,33700000,,38205000,37040000,36185000,35900000,35620000,,38800000,35800000,35600000,36900000,36900000,34500000,35600000,35900000,
SASR,SASR.OQ,Sandy Spring Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SASR,1.512,1.645,2.95,3.255,3.232,3.2425,3.1525,2.93833,2.925,3.10833,3.108,2.495,2.505,2.448,2.306,2.986,2.945,3.2,3.3,3.443,3.432,3.424,3.30167,3.35833,3.46667,3.47333,2.914,2.854,2.748,2.566,368718750,388033330,338550000,271239670,268566670,273954670,272760500,263598600,261631600,261972600,260519200,178376600,178920600,177777000,170181200,380644750,398866670,373300000,354980330,331300000,296208000,292338750,278174600,280299600,280658200,284564600,267041800,268641800,267082200,185172000
SBCF,SBCF.OQ,Seacoast Banking Corporation of Florida,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SBCF,1.28667,1.22714,1.7598,1.88,1.87,1.928,1.9662,1.5325,1.5975,1.75,1.77171,1.24667,1.228,1.24333,1.23444,1.53386,1.51014,1.9552,2.02667,2.00843,2.09233,2.11957,1.97886,2.08571,2.2334,2.07443,1.635,1.642,1.60857,1.50556,327641200,322286600,315613750,297716500,298285500,303482600,308009400,260433800,261777750,264145250,260580800,222333330,222700000,216513600,212363670,324553000,323874800,336222000,313285000,311813000,319944400,326878000,308762400,314424400,322416670,285157600,267666670,270800000,259045800,237402170
SBFG,SBFG.OQ,SB Financial Group Inc,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,SBFG,1.48,1.36,1.56,1.45,1.49,,1.57,1.51,1.53,,,,,,,1.33,1.5,1.74,1.58,1.67,,1.75,1.68,1.7,,,,,,,36200000,37700000,37300000,34800000,,,35500000,33000000,33000000,,,,,,,35500000,37100000,40800000,36100000,,,38200000,35300000,35300000,,,,,,
SBNY,SBNY.OQ,Signature Bank,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SBNY,9.78067,9.22822,10.48361,10.82,10.88035,11.03369,11.48942,9.10833,9.11579,9.23263,11.154,7.25412,7.20313,9.41167,9.13895,11.72556,10.84189,11.22182,11.15235,11.57859,12.02294,12.39522,11.309,11.35495,11.87368,12.08842,9.584,9.93579,10.58056,10.64833,1618086930,1565308870,1420379430,1333137700,1347571430,1354222670,1381023750,1314851940,1319049130,1347327630,1367517880,1267498310,1280972930,1322511630,1346655560,1745850500,1658255870,1534724500,1427755000,1463387860,1482573070,1498450000,1369007880,1373602630,1438353750,1486315190,1335021310,1400613000,1498395500,1538043130
SBSI,SBSI.OQ,Southside Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SBSI,1.9085,1.6325,1.845,2.25725,2.2914,2.2582,2.2432,2.188,2.2524,2.305,2.423,1.982,2.07,2.13602,1.99024,2.1175,2.0825,1.99125,2.29875,2.379,2.3138,2.3434,2.338,2.504,2.568,2.592,2.2,2.316,2.3625,2.15366,243606000,238204500,221948750,219888500,223593400,221615200,224806200,223471000,227538000,232176500,233058000,197522000,201124250,204371000,203519500,237856750,236918250,226233000,227637500,234854000,232675400,235458800,224640600,237106000,243675000,245125400,247163600,257902400,264827000,217002000
SBT,SBT.OQ,Sterling Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,SBT,-0.34,-0.6,0.835,1.08,1.11,1.11333,1.1,1.18,1.17,1.16,1.09,0.9,,,,0.55,0.6,0.8,1.025,1.16333,1.15667,1.18,1.13,1.25,1.25,1.25,1.1,,,,110110000,114650000,113905000,132045000,136313330,137963330,139620000,140770000,141715000,140465000,137290000,113630000,,,,108460000,113390000,113295000,130160000,144430000,147130000,150063330,146295000,154870000,155695000,157420000,136920000,,,
SFBC,SFBC.OQ,Sound Financial Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,SFBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFBS,SFBS.OQ,ServisFirst Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SFBS,2.8194,2.7412,2.538,2.67675,2.645,2.6675,2.6775,2.5375,2.515,2.49,2.445,1.8125,1.8025,1.7425,1.65,2.4916,2.472,2.672,2.7042,2.6825,2.765,2.875,2.7925,2.77,2.7975,2.7725,2.215,2.0575,1.97,1.905,362438600,370206200,327601400,309420800,307665000,309950250,313791750,286319750,288040500,290604000,286906500,247061000,247600250,244503250,238214750,353026200,352179600,342888000,331516000,326778500,334504000,343054500,319775500,327115000,332737250,330252500,287492500,285242750,277776250,269807500
SFNC,SFNC.OQ,Simmons First National Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SFNC,2.04833,1.875,1.98667,2.54667,2.36667,2.34,2.38,2.33833,2.324,2.348,2.327,1.575,1.56167,1.64375,1.71834,1.73067,1.675,2.06,2.38517,2.54429,2.46157,2.56333,2.49,2.526,2.542,2.544,2.082,1.885,2.065,2.05625,868925000,846239200,840976830,750219800,744125710,741275290,752560670,706150330,703338000,701345750,694935400,486774000,456728000,491610670,493814000,820382670,823025330,839985170,878069500,889630140,782114570,810521170,768914830,741105200,737622400,735289600,670864000,683651750,681164400,627274400
SFST,SFST.OQ,Southern First Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,SFST,2.07667,2.34333,3.59,3.54,3.42,3.25,3.135,2.855,2.8,2.78,2.7,2.045,2.03,2.01333,2.07667,2.84867,3.04667,3.83,3.585,3.52,3.59,3.42,3.085,3.085,3.085,3.08,2.635,2.565,2.5075,2.53333,76593000,74782330,73133500,67010000,,,67870000,60055000,59565000,59950000,63395500,50939000,51165000,50136000,52453670,79406670,77567670,79309000,72480000,,,74160000,68344500,67824500,68046500,71287500,58468000,59366000,57599750,59704330
SHBI,SHBI.OQ,Shore Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SHBI,1,0.97,0.95,1.29,1.285,1.32,1.32,1.37,1.385,1.375,1.41,0.94,0.925,0.945,0.96,0.705,0.985,0.93,1.275,1.275,1.41,1.455,1.505,1.57,1.575,1.63,1.355,1.345,1.315,1.32,52264000,52267000,49817000,50342000,50267500,56770500,52453500,51247500,51347500,51797000,51975500,45743000,45262000,45016500,44409000,52902000,53506500,50856500,52291000,52788500,60886000,56709000,54860500,55360500,56355000,56667000,52235000,51393000,51159500,50212000
SI,SI.N,Silvergate Capital Corp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,SI,0.94667,0.78,0.72,1.14333,,,,,,,,,,,,0.96333,0.91,0.93333,0.88333,,,,,,,,,,,,79300000,77450000,79600000,82840330,,,,,,,,,,,,86700000,86300000,88900000,84322000,,,,,,,,,,,
SIVB,SIVB.OQ,SVB Financial Group,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SIVB,14.8192,12.67625,16.6594,21.3742,21.41495,20.77979,20.5663,17.91485,17.30737,16.13585,13.9142,9.64474,8.98684,8.66263,8.45611,14.95971,15.3316,16.9306,19.677,19.64481,21.67216,22.74942,20.74988,20.58742,19.27868,16.30511,12.02895,11.00778,11.07944,10.925,3351923570,3059130530,3124656380,3233984380,3227185560,3181927590,3212036590,2591845710,2561975170,2483309240,2306337940,1918867560,1863786880,1825090940,1800201250,3204360710,3092873060,3308080000,3249057130,3258257250,3423373410,3557784240,3215190620,2988712280,2877110000,2620923830,2256638630,2167338810,2132482560,2099002530
SLCT,SLCT.OQ,Select Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,SLCT,0.33,0.34,0.65,0.77,0.76,0.77,0.9,0.95,0.87,,,0.64,0.64,0.74,0.68,0.495,0.56,0.83,0.93,0.93,0.93,0.97,0.9,0.9,,,0.86,0.86,0.81,0.8,50900000,52120000,56270000,48180000,48180000,47660000,49670000,47510000,48850000,,,34220000,34220000,34420000,33620000,50526500,51390000,60440000,53370000,53370000,52270000,53170000,50770000,54440000,,,44940000,44940000,35880000,34700000
SMBC,SMBC.OQ,Southern Missouri Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,SMBC,2.49,2.755,2.855,3.205,3.145,3.09,3.015,2.935,2.8,2.475,2.66,2.42,2.42,2.15,2.3,2.465,2.33,2.295,3.3,3.19,3.15,3.125,2.96,2.91,2.77,3,,,2.5,2.85,103795000,94560000,92680000,93070000,92445000,86600000,86300000,85000000,85175000,76765000,,74070000,74070000,65800000,,100405000,97445000,92085000,96300000,97700000,92200000,91500000,90900000,90400000,85175000,,,,,
SMBK,SMBK.OQ,SmartFinancial Inc,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,SMBK,1.405,1.15443,1.17429,1.8084,1.79571,1.63,1.8225,1.3,1.3625,1.3775,1.42,0.595,0.915,0.915,0.925,1.205,1.30257,1.34286,1.672,1.67143,1.7425,2.15,1.7625,1.85,1.85333,1.88,1.04,1.25,1.24,1.045,114635000,111131830,100917500,92188000,92070600,93934250,125105800,82388750,84557250,82250250,77610500,49440000,46908000,46497500,45488500,108730600,111063830,107054000,107129670,95123000,98713250,163247200,94966500,100600750,96208670,87014000,76650000,67685000,67157000,48352000
SMMF,SMMF.OQ,Summit Financial Group Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SMMF,1.765,1.73,2.15,2.46,2.375,2.275,2.23,2.195,2.205,2.295,2.245,1.265,1.86,1.77,1.685,2.15,2.05,2.31,2.36,2.3,2.325,2.325,2.12,2.235,2.31,2.285,2.125,2.01,1.965,1.9,93986500,92892000,86163000,77650000,78062500,77687000,84950000,70404500,71464000,91500000,90100000,84200000,75850000,74515000,65350000,95553500,93962000,89288000,86281000,85478000,81206500,89300000,75247000,77686500,95200000,94100000,93500000,81900000,82310500,72758000
SNV,SNV.N,Synovus Financial Corp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,SNV,1.47236,1.16513,2.80459,3.92364,3.99793,4.0435,3.93724,3.52077,3.61353,3.57,3.422,2.58636,2.46643,2.41056,2.24474,2.17594,2.35447,3.08994,3.673,3.99956,4.17375,4.34294,3.99329,4.05947,3.9465,3.76189,2.94105,2.78158,2.72368,2.56632,1942812620,1853926290,1838172330,1941139330,1937835190,1945044790,1929738330,1435651070,1444939270,1443211810,1431022200,1303115420,1298456210,1282426080,1259821000,1843690530,1840313670,1894784130,1883182470,1939343250,1983947570,2021491470,1942475640,1951957920,1550836070,1529075070,1410031440,1395297060,1375209200,1349993800
SONA,SONA.OQ,Southern National Bancorp of Virginia Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,SONA,0.725,0.53,1.33,1.33,1.3,1.3,1.39,1.37,1.32,1.25,1.15,0.86,0.9,0.85,0.93,1.00667,1.16,1.355,1.29,1.31,1.38,1.455,1.3,1.3,1.27,1.25,1.07,1.07,1.07,1.17,88642330,104100000,84734000,83931000,84686000,86370000,91466000,90600000,90700000,90200000,91600000,67300000,67300000,64500000,63500000,91821000,95100000,87063500,85451000,87195000,89210000,93877500,89400000,91400000,92600000,95100000,93500000,93500000,90700000,87400000
SPFI,SPFI.OQ,South Plains Financial Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SPFI,1.64,1.275,1.255,1.63,1.41,1.44,,,,,,,,,,1.38,1.2,1.305,1.765,1.565,1.445,,,,,,,,,,208950000,189950000,179950000,160350000,155650000,158550000,,,,,,,,,,191750000,180000000,178800000,178650000,179050000,169050000,,,,,,,,,
SRCE,SRCE.OQ,1st Source Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SRCE,2.85967,2.513,2.64333,3.61667,3.54767,3.54,3.51667,3.1775,3.3325,3.295,3.3175,2.5775,2.59,2.51,2.39333,2.499,2.37667,2.56,3.58967,3.56433,3.75,3.73333,3.5325,3.6175,3.5575,3.5075,2.88,2.91,2.8075,2.72333,322697330,319190670,306733330,326455000,325842670,323245330,325110670,310844330,312093000,308906000,302105670,281110000,279314330,274693670,272244000,311879330,311525670,308566670,331865330,338123000,337530670,341302670,324219000,327415000,326418670,317599000,299210330,296853000,292471670,289485670
SSBI,SSBI.OQ,Summit State Bank,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,SSBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STBA,STBA.OQ,S&T Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,STBA,1.22333,1.835,2.40667,3.00633,2.934,2.98933,3.096,2.95,2.872,2.861,2.89,2.3675,2.3,2.2375,2.2425,1.9075,2.15,2.52,3.07225,3.049,3.242,3.214,3.1794,3.154,3.1175,3.0525,2.4825,2.4475,2.4375,2.3925,342288000,347650250,333007670,303128000,303019670,301773000,295450000,286744250,287415000,284181330,284743330,283392000,282314330,280062330,275443670,330725250,343812500,342937670,346870330,350863670,353422000,309190250,299310750,301721750,300121670,299269670,292932330,294843330,296588330,293005670
STL,STL.N,Sterling Bancorp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,STL,1.03857,1.27443,1.85582,2.0544,2.1016,2.13675,2.09911,1.9694,1.9954,1.9648,1.90633,1.37111,1.35125,1.35375,1.3375,1.58182,1.75175,2.02664,2.21909,2.26258,2.288,2.24025,2.0696,2.2502,2.242,2.13,1.777,1.73286,1.705,1.65429,869373860,861942630,897819670,950148330,954032880,963354200,980409750,988509890,1006802900,1011540600,996100500,611679870,505258600,479571000,475943380,855565850,869050630,940627170,925583670,969821130,988195400,998796500,979177330,1073100900,1087327410,1064281860,1038800710,1007584160,1006729370,994772710
STND,STND.OQ,Standard AVB Financial Corp,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,STND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STXB,STXB.OQ,Spirit of Texas Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,STXB,1.21,0.88967,1.09667,1.50333,1.53,1.6675,1.68333,1.18,1.205,1.16,,,,,,1.06,0.92767,1.31,1.815,1.8175,1.9825,2.04333,1.75333,1.64,1.40667,,,,,,117229000,114582000,114477670,89583670,89087000,88838500,92006330,57188000,56747500,55815330,,,,,,117034000,116175000,122125330,116251500,116589750,103300000,106048000,89130670,78159500,63843330,,,,,
SVBI,SVBI.OQ,Severn Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,SVBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYBT,SYBT.OQ,Stock Yards Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,SYBT,2.4875,2.52,2.17,2.8375,2.7175,2.56,2.5125,2.375,2.395,2.3675,2.258,1.926,1.896,1.934,1.906,2.0975,2.07,2.2275,2.64567,2.5875,2.67667,2.6725,2.4475,2.46,2.455,2.374,2.08,2.02,2.058,2.034,192533330,195700000,175666670,173500000,171366670,170800000,171500000,158433330,160600000,157500000,158200000,148500000,148800000,150100000,150476670,182000000,182200000,177666670,179733330,178000000,178966670,181066670,166166670,168466670,165133330,165466670,156233330,157233330,159166670,158256670
TBBK,TBBK.OQ,Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,TBBK,1.275,1.17,1.2,1.065,0.96,0.93667,0.85,1.59667,1.105,0.73667,0.74667,0.595,0.48,0.38667,0.34,1.48,1.365,1.365,1.21,0.99,1.00667,0.98667,0.89,0.87,0.93,0.93333,0.66667,0.575,0.525,0.5325,193017000,167005500,141527500,142249500,141711000,136259670,132345330,120989330,121017000,120585330,118599000,108841000,108555330,100413330,104145000,203628000,163267500,144393000,155027500,148495000,145054670,142338330,129342000,129764000,133768330,131312670,121036000,116404000,110466250,111469500
TBK,TBK.OQ,Triumph Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,TBK,1.315,0.66,1.695,2.20167,2.22233,2.34771,2.71143,2.06286,2.21429,2.42714,2.68667,1.99167,1.93833,1.655,1.68333,2.01643,1.76167,2.06833,2.426,2.71867,2.98329,3.29143,3.22286,3.28,3.30143,3.145,2.25143,2.14714,1.87833,2.06167,301915330,291871800,295054800,288082250,290447500,292763500,306581000,252492670,252313170,250661830,224960200,173408800,174278800,167050000,167520000,320204500,318972200,318169400,311919200,322364670,332992000,347154330,318937000,319493670,312194330,250692200,214612670,212632170,184260000,185380000
TBNK,TBNK.OQ,Territorial Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,TBNK,1.84,1.72,1.77667,2.2975,2.225,2.21,2.04225,2.027,2.071,2.1275,2.105,1.79,1.8,1.87,1.865,1.885,1.7095,1.84,1.9925,2.0475,2.12325,2.1345,1.96075,2.146,2.25,2.225,1.99,1.9925,2.1025,2.1025,58718330,57977500,57652000,61755000,62460000,63585000,62393330,62750000,63625000,65306670,64630000,62353330,62900000,63983330,63433330,59745000,58827500,58629000,63530000,65545000,66476670,64760000,63410000,65120000,67870000,67736670,64236670,65563330,66626670,65786670
TCBI,TCBI.OQ,Texas Capital Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,TCBI,0.11462,0.76815,3.667,6.315,6.04433,6.48907,6.34094,6.00959,6.14519,6.05947,5.98141,4.03647,4.01,3.85294,4.06433,3.17757,2.67357,3.807,5.52258,5.81331,6.575,6.637,6.62439,7.01824,6.83388,6.64218,5.23177,4.96,4.78188,4.94429,1029243250,966198670,1007677300,1058786920,1051030860,1075521860,1064166740,993134670,1000754770,986082430,964005710,830056710,813794390,803413920,831646710,979143750,961617170,1033114900,1041480000,1063907360,1117863430,1122626530,1082576870,1119305460,1093172000,1071823360,958283790,923167570,922796000,944290570
