,,date,deposits,assets,noninterestexpense,interestexpense,noninterestincome,stockholdersequity
SIVB,12,2016-09-30,38189416000.0,43274037000.0,626212000.0,32145000.0,343050000.0,3593051000.0
SIVB,13,2016-06-30,37596567000.0,43132654000.0,404385000.0,20893000.0,198910000.0,3505578000.0
SIVB,14,2016-03-31,38759721000.0,43573902000.0,204033000.0,10237000.0,86134000.0,3381044000.0
SIVB,15,2015-12-31,39142776000.0,44686703000.0,778016000.0,40340000.0,472794000.0,3198134000.0
SIVB,16,2015-09-30,37049417000.0,41730982000.0,569408000.0,30177000.0,358288000.0,3174899000.0
SIVB,17,2015-06-30,35626965000.0,40236118000.0,384653000.0,20046000.0,249811000.0,3051102000.0
SIVB,18,2015-03-31,33851575000.0,39695990000.0,196108000.0,9899000.0,172018000.0,2971637000.0
SIVB,19,2014-12-31,34343499000.0,39344640000.0,716871000.0,35321000.0,572239000.0,2817762000.0
SIVB,20,2014-09-30,31123135000.0,36041007000.0,527871000.0,26333000.0,404602000.0,2721957000.0
SIVB,21,2014-06-30,28352547000.0,33309016000.0,345882000.0,17572000.0,324435000.0,2675739000.0
SIVB,22,2014-03-31,25476905000.0,29711039000.0,172436000.0,8696000.0,310225000.0,2094000000.0
SIVB,23,2013-12-31,22472979000.0,26417189000.0,621680000.0,32277000.0,673206000.0,1966270000.0
SIVB,24,2013-09-30,19996991000.0,23740864000.0,452830000.0,23891000.0,434493000.0,1944927000.0
SIVB,25,2013-06-30,18690074000.0,22153901000.0,292306000.0,15747000.0,176843000.0,1847956000.0
SIVB,26,2013-03-31,19309908000.0,22796000000.0,149014000.0,7845000.0,78604000.0,1882219000.0
SIVB,27,2012-12-31,19176452000.0,22766123000.0,545998000.0,30854000.0,335546000.0,1830555000.0
SIVB,28,2012-09-30,17725066000.0,21576934000.0,402949000.0,23249000.0,208858000.0,1784924000.0
SIVB,29,2012-06-30,18068812000.0,21289772000.0,267778000.0,15721000.0,139719000.0,1715360000.0
SIVB,30,2012-03-31,16716882000.0,20818337000.0,132012000.0,7837000.0,59293000.0,1639490000.0
SIVB,31,2011-12-31,16709536000.0,19968894000.0,500628000.0,39111000.0,382332000.0,1569392000.0
SIVB,32,2011-09-30,16139222000.0,19195363000.0,365918000.0,31379000.0,309273000.0,1536098000.0
SIVB,33,2011-06-30,16278474000.0,19366735000.0,238467000.0,23510000.0,213662000.0,1436893000.0
SIVB,34,2011-03-31,15330319000.0,18618266000.0,117435000.0,13802000.0,89954000.0,1313574000.0
SIVB,35,2010-12-31,14336941000.0,17527761000.0,422818000.0,43596000.0,247530000.0,1274350000.0
SIVB,36,2010-09-30,12414945000.0,15660069000.0,306927000.0,29405000.0,175666000.0,1268611000.0
SIVB,37,2010-06-30,12140413000.0,14903986000.0,202756000.0,18988000.0,89430000.0,1237103000.0
FITB,0,2019-06-30,125392000000.000000,168802000000.000000,2341000000.0,742000000.0,1761000000.0,20474000000.0
FITB,1,2019-03-31,123664000000.000000,167853000000.000000,1097000000.0,351000000.0,1101000000.0,19647000000.0
FITB,2,2018-12-31,108835000000.000000,146069000000.000000,3928000000.0,1043000000.0,2790000000.0,16250000000.0
FITB,3,2018-09-30,104342000000.000000,141685000000.000000,3090000000.0,731000000.0,2215000000.0,15830000000.0
FITB,4,2018-06-30,104131000000.000000,140695000000.000000,2083000000.0,458000000.0,1652000000.0,16232000000.0
FITB,5,2018-03-31,105461000000.000000,141500000000.000000,1046000000.0,210000000.0,909000000.0,16184000000.0
FITB,6,2017-12-31,103162000000.000000,142193000000.000000,3990000000.0,691000000.0,3224000000.0,16365000000.0
FITB,7,2017-09-30,101452000000.000000,142264000000.000000,2918000000.0,502000000.0,2648000000.0,16360000000.0
FITB,8,2017-06-30,101880000000.000000,141067000000.000000,1943000000.0,320000000.0,1087000000.0,16419000000.0
FITB,9,2017-03-31,104156000000.000000,140200000000.000000,986000000.0,153000000.0,523000000.0,16430000000.0
